Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment
25,2,220.37,4,3,3,433,10,Champions
173,6,1412.77,2,4,4,244,10,Champions
141,1,44.37,2,3,1,231,6,Potential Loyalists
26,3,172.4,4,4,3,443,11,Champions
73,2,88.78,3,3,2,332,8,Loyal Customers
135,1,51.2,2,3,2,232,7,Potential Loyalists
367,1,179.37,1,3,3,133,7,Potential Loyalists
39,2,645.7,4,4,4,444,12,Champions
46,5,956.03,4,4,4,444,12,Champions
3,2,34.86,4,4,1,441,9,Champions
31,1,97.37,4,3,2,432,9,Champions
74,1,35.83,3,3,1,331,7,Potential Loyalists
278,1,660.62,1,3,4,134,8,Loyal Customers
181,1,30.7,2,3,1,231,6,Potential Loyalists
8,2,58.86,4,4,2,442,10,Champions
4,14,1523.2,4,4,4,444,12,Champions
43,3,804.58,4,4,4,444,12,Champions
